"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1184","homedownload@api","chromium","Sat Oct 18 20:22:13 GMT+07:00 2025","passed","Sat Oct 18 20:22:14 GMT+07:00 2025","","","",""
"","831","Loginteacher@api","chromium","Sat Oct 18 20:21:26 GMT+07:00 2025","passed","Sat Oct 18 20:21:27 GMT+07:00 2025","","","",""
"","771","Login@api","chromium","Sat Oct 18 20:21:22 GMT+07:00 2025","passed","Sat Oct 18 20:21:23 GMT+07:00 2025","","","",""
"","2518","reportatten@api","chromium","Sat Oct 18 20:22:05 GMT+07:00 2025","passed","Sat Oct 18 20:22:08 GMT+07:00 2025","","","",""
"","589","logout@api","chromium","Sat Oct 18 01:50:00 GMT+07:00 2025","passed","Sat Oct 18 01:50:00 GMT+07:00 2025","","","",""
"","480","Teacher Home@api","chromium","Sat Oct 18 20:24:24 GMT+07:00 2025","passed","Sat Oct 18 20:24:25 GMT+07:00 2025","","","",""
